tid,LAW,INFRINGEMENT,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,CONTACTNAME,ORGANIZATION,ORGANIZATION2,GEOGRAPHY2,DATETIME,PERCENT
1004544,0,0,0,0,1341,0,0,24623,0,128404,0,277,0,0
102042281,0,1,0,0,1337,0,0,24825,0,128740,0,277,0,0
1025815,0,1,0,0,1286,0,0,24972,0,128600,0,277,0,0
1062207,0,1,0,0,1257,0,0,24815,0,127847,0,277,0,0
106681665,0,1,0,0,1264,0,0,24595,0,128426,0,0,0,0
1114158,0,1,0,0,1273,0,0,24736,0,128987,0,277,0,0
1118022,0,0,0,0,1341,0,0,24959,0,128426,0,260,0,0
112995556,0,1,0,0,1351,0,0,24556,0,127136,0,260,0,0
1165153,0,1,0,0,1341,0,0,24959,0,127038,0,277,0,0
117903,0,0,0,0,1286,0,0,24850,0,128426,0,255,0,0
1202388,0,1,0,0,1356,0,0,24562,0,128834,0,277,0,0
1238420,0,1,0,0,1341,0,0,24546,0,127038,0,277,0,0
1239673,0,1,0,0,1304,0,0,24776,0,128426,0,277,0,0
1269197,0,1,0,0,1341,0,0,24606,0,127038,0,260,0,0
1281050,0,0,0,0,1286,0,0,24739,0,128426,0,277,0,0
1281453,0,1,0,0,1334,0,0,24785,0,128962,0,276,0,0
1300598,0,0,0,0,1341,0,0,24959,0,127038,0,262,0,0
1306228,0,1,0,0,1341,0,0,24959,0,127038,0,260,0,0
13352,0,0,0,0,0,0,0,24875,0,128667,0,0,0,0
136111,0,1,0,0,1341,0,0,24499,0,127038,0,277,0,0
1375229,0,1,0,0,0,0,0,24737,0,128410,0,0,0,0
139585580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141920684,0,0,0,0,1351,0,0,24815,0,128390,0,277,0,0
14349,0,0,0,0,1257,0,0,24489,0,126835,0,277,0,0
145549327,0,1,0,0,1337,0,0,24825,0,127038,0,255,0,0
1460395,0,0,0,0,1341,0,0,24959,0,127038,0,0,0,0
147470112,0,0,0,0,1351,0,0,24556,0,127038,0,255,0,0
1502681,0,0,0,0,1286,0,0,24561,0,128426,0,276,0,0
1509899,0,1,0,0,1248,0,0,24697,0,128016,0,248,0,0
152715128,0,1,0,0,1351,0,0,24556,0,127038,0,277,0,0
1557873,0,1,0,0,1337,0,0,24825,0,127042,0,277,0,0
157791679,0,1,0,0,1337,0,0,24825,0,127038,0,277,0,0
1611564,0,1,0,0,1341,0,0,24815,0,127038,0,277,0,0
1640143,0,0,0,0,1341,0,0,24815,0,128426,0,277,0,0
1657978,0,1,0,0,1351,0,0,24556,0,127038,0,277,0,0
1674695,0,1,0,0,1341,0,0,24970,0,128522,0,260,0,0
170719338,0,1,0,0,1351,0,0,24556,0,126670,0,277,0,0
172383107,0,1,0,0,1279,0,0,24613,0,126962,0,260,0,0
1741869,0,1,0,0,1341,0,0,24959,0,127038,0,277,0,0
1771880,0,0,0,0,1286,0,0,24820,0,128426,0,277,0,0
1784548,0,1,0,0,1257,0,0,24990,0,128644,0,0,0,0
1789265,0,1,0,0,1341,0,0,24959,0,127038,0,291,0,0
179972913,0,1,0,0,1351,0,0,24556,0,127038,0,288,0,0
18135822,0,1,0,0,1351,0,0,24556,0,128328,0,277,0,0
181424088,0,1,0,0,1351,0,0,24960,0,128311,0,277,0,0
1857898,0,0,0,0,1279,0,0,24815,0,127038,0,277,0,0
1864885,0,1,0,0,1341,0,0,24959,0,127923,0,277,0,0
1900841,0,1,0,0,1273,0,0,24736,0,128685,0,255,0,0
192230665,0,1,0,0,1341,0,0,24815,0,127506,0,277,0,0
19267666,0,1,0,0,1293,0,0,24910,0,127229,0,277,0,0
1945028,0,1,0,0,1356,0,0,24815,0,127038,0,277,0,0
19504407,0,1,0,0,1351,0,0,24556,0,127038,0,277,0,0
1965135,0,1,0,0,1273,0,0,24736,0,128940,0,277,0,0
1981161,0,0,0,0,1341,0,0,24959,0,127038,0,277,0,0
1983225,0,1,0,0,1278,0,0,24815,0,127038,0,277,0,0
27816811,0,1,0,0,1351,0,0,24556,0,127911,0,277,0,0
304538,0,0,0,0,1286,0,0,24426,0,128426,0,277,0,0
321682,0,1,0,0,1327,0,0,24815,0,127767,0,277,0,0
3304039,0,0,0,0,1357,0,0,24829,0,128638,0,283,0,0
330608,0,1,0,0,1257,0,0,24815,0,128426,0,277,0,0
340501,0,0,0,0,1344,0,0,24835,0,128426,0,283,0,0
357841,0,1,0,0,1315,0,0,24787,0,126955,0,283,0,0
374690,0,0,0,0,0,0,0,0,0,127203,0,0,0,0
421030,0,0,0,0,1257,0,0,24498,0,127487,0,277,0,0
42490190,0,1,0,0,1337,0,0,24909,0,127038,0,277,0,0
49386818,0,1,0,0,1337,0,0,24825,0,127884,0,277,0,0
508915,0,1,0,0,1273,0,0,24736,0,126702,0,277,0,0
52700318,0,1,0,0,1296,0,0,24769,0,128644,0,277,0,0
574884,0,1,0,0,1311,0,0,24503,0,128426,0,283,0,0
60866758,0,1,0,0,1337,0,0,24601,0,128846,0,244,0,0
614155,0,1,0,0,1277,0,0,24815,0,126997,0,277,0,0
614536,0,1,0,0,1322,0,0,24945,0,127890,0,277,0,0
615459,0,1,0,0,1341,0,0,24959,0,127038,0,288,0,0
618763,0,0,0,0,1358,0,0,24564,0,128098,0,255,0,0
645115,0,1,0,0,1341,0,0,24959,0,126613,0,277,0,0
646292,0,0,0,0,1356,0,0,24820,0,128426,0,277,0,0
