tid,label,token
1482259,country,India
1482259,country,union of india
1482259,country,US
1482259,location,India
1482259,location,UNION OF INDIA
1482259,location,INDIA
1482259,location,Union of India
1482259,location,the States
1482259,location,Venkatachalliah
1482259,location,RANGNATHAN
1482259,location,NATRAJAN
1482259,location,New Shakti Dye Works
1482259,location,Karnataka
1482259,location,Kerala
1482259,location,Gujarat
1482259,location,Andhra Pradesh
1482259,location,Uttar Pradesh
1482259,location,States
1482259,location,Mercerising
1482259,location,Memon Street
1482259,location,Deonar
1482259,location,Kores
1482259,location,Parts
1482259,location,Delhi
1482259,location,Allahabad
1482259,location,Lucknow
1482259,location,Calcutta
1482259,location,Bombay
1482259,location,London
1482259,location,Dunedin
1482259,location,Madhya Pradesh
1482259,location,Empire Industries
1482259,location,12183
1482259,location,m.n.
1482259,location,venkatachalliah
1482259,location,rangnathan
1482259,location,s. pathak
1482259,location,r.s.
1482259,location,cj
1482259,location,mukharji
1482259,location,sabyasachi
1482259,location,natrajan
1482259,location,s.
1482259,location,india
1482259,location,karnataka
1482259,location,u.p.
1482259,location,kerala
1482259,location,gujarat
1482259,location,allahabad
1482259,location,andhra pradesh
1482259,location,lucknow
1482259,location,harbilas rai
1482259,location,hiralal
1482259,location,ors.
1482259,location,dhillon
1482259,location,chisletr
1482259,location,madhya pradesh
1482259,location,bennion
1482259,location,anr.
1482259,location,bhajiva
1482259,location,gopikabai
1482259,location,states
1482259,location,mercerising
1482259,location,bombay
1482259,location,deonar
1482259,location,kurnool
1482259,location,sadasivan
1482259,location,kailash nath
1482259,location,u. p.
1482259,location,jitmal
1482259,location,kores
1482259,location,london
1482259,location,bhagwati
1482259,location,c.i.t.
1482259,location,state of madhya pradesh
1482259,location,narasimhan
1482259,organization,Gujarat High Court
1482259,organization,Bombay High Court
1482259,organization,Madhya Pradesh High Court
1482259,organization,Delhi High Court
1482259,organization,Union of India
1482259,organization,Textiles Mills
1482259,organization,Honest Textile
1482259,organization,LSB
1482259,organization,High Court
1482259,organization,Court in Empire
1482259,organization,Industries
1482259,organization,Ltd
1482259,organization,High
1482259,organization,High Court of Gujarat
1482259,organization,Court of Bombay
1482259,organization,Empire Industries
1482259,organization,Empire Industries Limited
1482259,organization,Union Parliament
1482259,organization,Atic Industries Ltd
1482259,organization,Bombay Tyre International Ltd
1482259,organization,Cibatul Ltd
1482259,organization,Food Specialities Ltd
1482259,organization,Cloth & General Mills
1482259,organization,Tungabhadra Industries Ltd
1482259,organization,Pio Food Packers
1482259,organization,Kailash Nath
1482259,organization,State of U P
1482259,organization,Sterling Foods
1482259,organization,State
1482259,organization,Sadasivan
1482259,organization,Swastic Products Baroda
1482259,organization,Swan Bangle Stores
1482259,organization,Sri Durga Hardware Stores
1482259,organization,State of Andhra Pradesh
1482259,organization,Sherwin-Williams Company
1482259,organization,North Dakota Government
1482259,organization,Harbilas Rai
1482259,organization,Hiralal Jitmal
1482259,organization,Diamond Sugar Mills
1482259,organization,Union
1482259,organization,Pandit Ram Narain
1482259,organization,Macbath & Com
1482259,organization,Chisletr
1482259,organization,SCR
1482259,organization,Calcutta Division
1482259,organization,Prithvi Cotton Mills Ltd.
1482259,organization,Broach Borough Municipality
1482259,organization,Union of India Ors
1482259,organization,Hindustan Milkfood Manufacturers Ltd
1482259,organization,HMM
1482259,organization,Associated Cement Co
1482259,organization,Legislatures
1482259,organization,Hindustan Cooperative Insurance Society
1482259,organization,Solani Ores Ltd
1482259,organization,Mahindra Ltd
1482259,organization,Gopikabai
1482259,organization,Bhajiva
1482259,organization,Customs
1482259,organization,Nathella Sampathu Chetty
1482259,organization,Central Jute Mills Ltd
1482259,organization,City Improvement Trust
1482259,organization,Special Land Acquisition Officer
1482259,organization,High Court of Bombay
1482259,organization,Ujagar Prints
1482259,organization,Head Office
1482259,organization,Sunder Baug
1482259,organization,Real Honest Textiles
1482259,organization,Vijaya Textiles Mills
1482259,organization,Vijaya Textiles
1482259,organization,Narendra Processing Industries
1482259,organization,STC
1482259,organization,SCC
1482259,organization,Extrusion Process Pvt Ltd
1482259,organization,N R.
1482259,organization,Stale of Andhra Pradesh
1482259,organization,Court in Union
1482259,organization,Delhi Cloth
1482259,organization,General Mills
1482259,organization,North Dakofa Government
1482259,organization,Tungabhadra Industries
1482259,organization,Limited
1482259,organization,Parliament
1482259,organization,British Parliament
1482259,organization,Macbeth & Co
1482259,organization,Chisten
1482259,organization,Central Excise
1482259,organization,Lamplough
1482259,organization,Legal Aid Committee
1482259,organization,Hammond
1482259,organization,Prithvi Cotton Mills Ltd
1482259,organization,Voltas
1482259,organization,Atic
1482259,organization,Bombay Tyres International
1482259,organization,Central Government
1482259,organization,Cibatul
1482259,organization,Nestle
1482259,organization,Union Legislature
1482259,organization,Whitney
1482259,organization,Inland Revenue Commissioners
1482259,organization,Legislature
1482259,organization,Mahendra Pratap Rama Chandra
1482259,organization,Bhajiyu
1482259,organization,Central Jute Mills Co.
1482259,organization,Narasimhan
1482259,organization,Supreme Court
1482259,organization,Madhya Pradesh
1482259,organization,Court
1482259,organization,supreme court of india
1482259,organization,ujagar prints etc vs union of india & ors. etc
1482259,organization,pathak
1482259,organization,r.s.
1482259,organization,ujagar
1482259,organization,venkatachalliah
1482259,organization,the gujarat high court
1482259,organization,court
