tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,LAW,INFRINGEMENT,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,CONTACTNAME,ORGANIZATION,ORGANIZATION2,GEOGRAPHY2,DATETIME,PERCENT,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
928322,0,5,21,0,0,0,4,4,7,102,0,756,53,105,2,166,116,3,174,81,246,286,3,0,0,0,0,0
699319,20,8,15,0,0,0,4,4,1,8,1,93,128,105,0,2,116,10,205,50,66,230,3,0,0,0,0,0
1988649,7,3,15,0,0,0,4,4,7,174,0,545,1,232,0,248,256,279,48,50,0,282,3,0,0,0,0,0
1362442,0,5,19,0,0,0,4,4,4,165,0,226,1,229,0,270,18,345,48,50,0,125,12,0,0,0,0,0
357132,0,0,5,0,0,0,4,10,9,543,0,474,53,24,0,415,200,47,205,50,0,120,3,0,0,0,0,0
1722050,0,8,15,0,3,0,4,25,7,258,0,163,5,105,5,19,225,108,42,46,0,152,56,0,0,0,0,0
985842,0,8,1,0,0,7,4,39,7,214,0,575,1,278,0,392,106,32,174,144,0,172,30,0,0,0,0,0
617044,9,5,21,0,0,0,4,4,7,332,1,575,1,173,0,327,171,396,48,50,45,240,3,0,0,0,0,0
1885635,0,1,1,0,0,0,4,22,7,123,0,109,58,203,0,281,98,277,217,50,0,139,3,0,0,0,0,0
104810373,39,6,1,0,0,13,4,8,10,62,0,657,53,105,0,2,116,10,60,144,211,185,11,0,0,0,0,0
4354,21,8,5,0,0,0,4,39,7,8,1,126,5,105,2,440,189,10,174,144,180,36,3,0,0,0,0,0
174974,0,8,5,5,0,7,4,16,4,104,1,650,21,260,2,367,261,35,174,144,19,230,98,0,0,0,0,0
1341112,7,8,1,0,0,0,7,23,4,8,0,298,66,37,2,473,225,10,174,144,253,144,86,0,0,0,0,0
64332,0,8,1,0,0,0,4,23,4,191,0,431,53,54,0,130,116,10,92,23,170,21,17,0,0,0,0,0
334293,21,8,5,0,0,7,4,5,10,8,0,228,53,105,2,186,116,10,205,144,37,91,108,0,0,0,0,0
137050,0,7,21,0,0,0,0,4,7,519,0,65,1,129,0,2,225,193,215,118,0,141,3,0,0,0,0,0
30319311,0,0,6,0,0,0,0,39,4,147,0,40,1,6,0,2,181,197,37,8,0,320,3,0,0,0,0,0
832781,36,5,1,0,0,0,4,39,10,8,0,520,1,311,0,237,217,10,68,67,317,115,86,0,0,0,0,0
1567371,0,3,13,2,0,0,4,4,10,90,1,155,1,18,0,288,232,35,48,50,3,104,3,0,0,0,0,0
76636976,0,7,10,6,8,3,4,0,7,456,1,334,40,297,0,455,76,10,222,50,254,167,3,1,1,1,0,1
1168060,0,0,21,0,0,0,0,38,10,8,0,115,1,245,0,2,86,10,48,50,0,98,3,0,0,0,0,0
634266,7,3,15,0,0,0,4,48,10,8,0,182,1,66,0,2,75,10,48,50,0,129,3,0,0,0,0,0
1664373,0,7,21,0,0,7,4,0,10,245,0,696,53,54,2,256,7,10,48,50,0,141,53,0,0,0,0,0
42294818,0,6,13,0,0,0,0,-1,1,2,0,705,1,0,0,99,0,401,153,69,0,302,3,0,0,0,0,0
1350547,0,7,5,0,0,0,0,4,2,8,0,47,13,105,0,20,61,10,174,144,0,210,3,0,0,0,0,0
199977,0,0,13,0,0,0,4,4,2,159,0,550,1,280,0,2,222,327,119,191,0,146,3,0,0,0,0,0
48216667,0,6,13,0,1,7,4,51,4,415,1,52,1,70,0,1,225,296,10,63,0,154,3,0,0,0,0,1
611025,15,8,1,0,8,0,0,51,4,206,1,439,48,198,0,225,116,272,48,50,0,175,53,0,0,0,0,0
762747,0,8,15,0,0,0,4,4,10,8,0,338,32,54,0,192,144,10,98,50,147,166,3,0,0,0,0,0
268937,18,8,1,0,0,0,0,25,7,491,0,225,19,38,2,323,23,396,48,50,4,131,3,0,0,0,0,0
104312764,0,7,13,0,0,7,4,4,4,297,0,358,1,105,0,2,116,100,48,50,31,94,11,0,0,0,0,0
353751,0,8,13,1,0,0,4,4,10,201,0,359,1,124,0,2,128,230,205,50,0,305,3,0,0,0,0,0
584252,0,8,15,0,0,0,4,16,4,481,0,279,1,105,2,424,75,10,205,50,0,204,96,0,0,0,0,0
1327080,30,8,10,0,8,3,0,4,7,420,1,575,1,66,0,369,75,10,48,50,0,105,3,1,0,0,0,1
1426304,0,5,21,0,0,0,0,39,7,378,0,268,21,64,0,2,75,172,48,50,0,174,3,0,0,0,0,0
1951505,0,8,1,0,0,7,0,38,4,320,1,7,144,173,0,437,171,8,47,49,140,31,3,0,0,0,0,0
91635,0,7,21,0,0,3,0,39,10,8,1,41,1,105,0,219,116,10,48,50,323,138,3,0,0,1,0,0
8919089,0,0,-1,0,0,0,-1,-1,-1,486,0,489,30,107,0,2,0,162,137,144,0,184,3,0,0,0,0,0
844819,0,8,13,0,0,0,4,4,2,477,0,392,48,76,2,2,40,10,205,172,0,218,3,0,0,0,0,0
634059,0,8,3,0,0,0,4,4,7,119,0,566,2,119,0,2,87,142,205,172,0,293,3,0,0,0,0,0
1013766,49,7,21,0,0,0,4,4,4,102,0,226,53,105,0,326,247,10,51,53,197,233,3,0,0,0,0,0
1187885,0,0,1,0,0,0,0,5,10,252,0,584,53,139,0,2,154,205,41,43,0,110,3,0,0,0,0,0
68469,0,5,21,1,0,0,4,4,10,8,0,19,1,281,0,2,80,86,48,50,234,72,3,0,0,0,0,0
1771435,0,0,1,0,0,0,0,16,4,277,0,752,1,53,0,371,0,135,48,50,234,151,17,0,0,0,0,0
557368,0,2,21,0,0,0,4,51,7,242,0,76,1,197,2,450,156,360,205,3,24,277,3,0,0,0,0,0
743158,32,5,15,2,0,0,4,4,10,251,1,601,1,54,0,242,50,362,48,50,112,175,3,0,0,0,0,0
1928398,0,8,15,0,0,0,0,51,0,130,1,305,1,66,0,2,111,195,48,50,0,195,3,0,0,0,0,0
309271,0,8,1,0,0,0,4,16,4,26,0,672,1,17,2,2,79,35,48,50,0,125,3,0,0,0,0,0
1295746,0,6,21,0,0,0,0,4,4,363,0,161,1,229,0,2,166,54,71,144,66,239,59,0,0,0,0,0
938898,0,5,6,1,0,0,4,4,4,546,0,620,1,213,0,2,207,10,48,50,163,128,3,0,0,0,0,0
1134697,26,8,2,0,0,7,-1,54,9,57,1,119,113,105,2,257,116,10,174,144,19,91,98,0,0,0,0,0
1505859,0,2,11,0,0,0,4,4,4,232,0,375,111,216,2,422,161,243,205,50,0,230,3,0,0,0,0,0
310087,0,0,3,0,0,0,4,39,8,454,0,366,53,105,0,400,116,236,84,53,0,162,3,0,0,0,0,0
91986422,27,8,21,6,10,0,4,3,8,8,1,129,53,105,2,115,70,10,171,140,135,191,24,0,1,0,0,0
380655,32,0,13,0,0,0,0,4,10,208,0,383,1,75,0,56,124,60,48,144,0,254,71,0,0,0,0,0
1830927,36,8,13,1,0,2,4,16,9,104,0,258,53,105,2,409,116,167,48,50,183,143,3,0,0,0,0,0
33136745,0,7,1,0,8,0,0,22,4,531,1,51,1,27,0,2,256,373,48,63,309,149,3,0,0,0,0,0
912526,42,8,1,0,0,0,0,0,7,150,0,77,1,308,0,63,184,273,205,50,0,261,3,0,0,0,0,0
292286,0,8,21,0,0,7,0,54,8,350,0,506,1,203,0,161,299,312,180,45,0,308,3,0,0,0,0,0
1716282,0,1,1,0,0,0,4,5,4,526,0,765,53,217,2,448,164,10,174,144,244,50,3,0,0,0,0,0
429924,0,0,21,0,0,0,0,16,4,238,0,118,1,125,0,199,53,167,184,151,0,86,3,0,0,0,0,0
176039345,6,8,1,0,0,0,0,16,10,8,0,244,33,105,0,391,116,10,48,50,0,185,3,0,0,0,0,0
508915,0,5,10,1,0,0,4,4,10,199,1,708,21,105,2,171,75,402,48,50,219,149,3,0,0,0,0,1
810279,0,8,21,0,0,2,7,4,10,387,0,163,53,105,2,407,116,10,48,53,0,110,119,1,0,0,0,0
88087196,0,8,6,0,8,4,0,16,4,286,1,603,1,66,0,36,72,246,49,51,0,165,3,1,0,0,0,1
309307,9,5,21,0,0,0,4,16,10,255,0,288,112,62,0,2,63,32,205,172,0,118,3,0,0,0,0,0
69624144,8,8,21,0,0,0,4,29,4,8,0,258,40,66,2,168,75,10,48,50,207,120,3,0,0,0,0,0
170697,30,8,1,1,0,7,4,33,7,79,0,255,144,105,0,2,220,164,205,172,155,15,3,0,0,0,0,0
1154981,28,8,1,0,0,0,4,0,10,440,0,766,1,308,0,350,299,10,48,50,237,121,3,0,0,0,0,0
1474119,0,8,5,0,0,0,2,16,4,104,0,141,53,105,2,211,133,10,174,144,19,227,120,0,0,0,0,0
42355707,33,8,15,0,0,7,0,4,10,299,0,673,1,130,2,473,39,132,170,35,0,174,36,0,0,0,0,0
146940961,0,8,20,0,0,0,0,16,8,181,0,433,1,211,0,2,298,429,48,50,0,178,3,0,0,0,0,0
1278222,0,1,13,0,0,0,0,39,4,388,0,280,1,82,0,449,256,408,230,192,0,98,3,0,0,0,0,0
62991042,0,8,-1,0,0,0,4,4,10,551,0,701,1,306,0,306,74,46,48,141,220,170,3,0,0,0,0,0
223504,15,8,13,0,0,-1,7,38,8,104,1,84,53,105,2,123,116,10,75,71,249,110,45,0,0,0,0,0
31239895,0,0,6,0,0,0,0,11,9,544,0,484,1,301,0,2,281,72,174,144,0,185,3,0,0,0,0,0
582634,0,8,13,0,0,2,4,36,4,500,1,480,1,58,0,92,199,423,55,50,11,200,3,1,0,0,0,0
2671204,0,8,15,0,0,0,4,4,-1,264,0,588,1,156,0,2,154,278,96,50,3,96,3,0,0,0,0,0
1030976,39,8,1,0,0,7,0,16,1,446,0,525,1,225,0,2,120,263,228,191,0,153,3,0,0,0,0,0
1905157,0,8,1,6,0,0,0,38,4,8,1,704,23,168,0,58,86,303,48,50,236,99,3,0,1,1,0,0
672966,0,8,21,0,8,3,4,0,7,128,1,441,9,66,0,2,75,279,48,50,7,287,3,1,0,0,0,0
528391,0,7,-1,0,8,7,0,-1,1,82,1,407,95,173,0,82,171,262,48,50,0,56,3,0,0,0,0,1
94788795,0,0,19,0,0,0,0,16,2,2,0,101,1,104,0,2,0,95,48,50,0,238,3,0,0,0,0,0
292442,0,0,21,0,0,0,0,30,2,283,0,131,48,156,0,2,40,74,222,183,0,329,68,0,0,0,0,0
52129591,0,8,21,6,0,7,2,16,7,108,0,138,53,105,2,406,116,10,53,54,75,260,39,1,1,1,0,1
1187886,0,0,13,0,0,0,0,4,7,517,0,666,1,194,0,2,116,32,50,130,0,3,3,0,0,0,0,0
1022584,0,8,11,0,0,0,0,40,10,8,0,585,53,231,0,2,89,184,48,50,192,120,3,0,0,0,0,0
486081,30,5,5,0,0,0,4,38,8,47,1,597,1,57,0,2,50,395,48,50,172,172,51,0,0,0,0,0
860600,38,5,1,2,6,4,0,26,4,88,1,123,1,58,0,37,56,68,48,50,0,176,77,1,0,0,0,1
444303,0,5,2,0,0,0,4,4,4,493,0,629,48,247,12,2,264,377,205,172,0,69,3,0,0,0,0,0
1341716,0,8,1,0,0,0,4,16,10,142,0,579,1,299,0,2,66,84,228,191,95,175,110,0,0,0,0,0
1877462,0,8,21,0,0,0,4,38,10,8,0,732,129,270,0,31,134,10,222,144,97,109,3,0,0,0,0,0
1500505,0,5,1,0,0,0,0,3,4,335,0,691,53,105,0,2,116,262,48,50,204,104,53,0,0,0,0,0
1353689,12,8,11,2,0,0,7,51,4,419,1,258,53,159,2,31,67,10,48,50,125,100,86,0,0,0,0,0
994554,38,8,1,0,0,7,0,41,4,8,0,122,1,217,0,282,213,364,75,71,0,97,25,0,0,0,0,0
6544121,15,8,1,1,0,7,4,39,10,60,0,207,1,260,0,95,261,10,48,50,19,170,100,0,0,0,0,0
6137338,0,5,21,0,0,0,7,16,4,12,1,685,1,106,0,2,117,49,48,50,0,102,3,0,0,1,0,0
1103984,0,8,15,0,0,0,4,39,8,8,0,767,99,205,0,431,218,10,97,50,281,110,3,0,0,0,0,0
465681,0,0,21,0,0,0,0,4,10,371,0,408,48,0,0,2,191,265,48,7,145,82,3,0,0,0,0,0
867423,0,8,21,1,0,0,0,4,7,244,0,671,77,229,0,2,223,181,205,172,269,147,3,0,0,0,0,0
1991497,0,6,1,0,0,0,4,39,4,8,0,703,5,272,2,482,16,264,48,50,0,110,3,0,0,0,0,0
1960330,38,8,2,0,0,5,4,16,2,477,0,388,53,166,2,398,116,10,59,144,209,109,110,0,0,0,0,0
109874394,0,8,21,0,6,8,4,19,7,356,1,193,53,195,0,23,256,10,48,50,225,268,3,1,0,1,0,0
71315,32,5,15,1,0,0,4,4,10,41,0,575,1,204,0,2,15,337,48,50,0,175,76,0,0,0,0,0
280485,0,5,6,0,0,0,4,39,4,343,0,6,1,233,0,2,116,258,48,50,0,119,29,0,0,0,0,0
1129833,0,1,15,0,0,5,0,4,8,418,0,715,1,130,2,273,132,159,205,172,110,98,3,0,0,0,0,0
