tid,label,token
1537954,ORG,Supreme Court of India
1537954,PERSON,Balwant Narayan Bhagde
1537954,ORG,M. D. Bhagwat & Ors
1537954,DATE,23 April
1537954,DATE,1975
1537954,DATE,1975
1537954,DATE,1767
1537954,DATE,1975
1537954,CARDINAL,250
1537954,PERSON,P Bhagwati
1537954,GPE,Bhagwati
1537954,GPE,P.N
1537954,PERSON,BHAGWATI
1537954,GPE,P.N.
1537954,GPE,BHAGWATI
1537954,GPE,"P.N.
    GUPTA"
1537954,GPE,"A.C.
    UNTWALIA"
1537954,GPE,N.L
1537954,DATE,1975
1537954,DATE,1975
1537954,DATE,1976
1537954,CARDINAL,700
1537954,LAW,"ACT:
    Land Acquisition Act"
1537954,CARDINAL,1
1537954,DATE,1894
1537954,CARDINAL,9
1537954,CARDINAL,1
1537954,CARDINAL,17
1537954,CARDINAL,1
1537954,CARDINAL,48
1537954,CARDINAL,1
1537954,ORG,Government
1537954,ORG,"an	Agricultural
    College"
1537954,LAW,"s. 4 of  the	Land
    Acquisition  Act"
1537954,DATE,1894
1537954,DATE,January 1959
1537954,CARDINAL,one
1537954,CARDINAL,6
1537954,DATE,"February
    1959"
1537954,CARDINAL,17
1537954,CARDINAL,1
1537954,DATE,15  days
1537954,CARDINAL,9
1537954,CARDINAL,1
1537954,DATE,"March	 24,
    1959"
1537954,ORG,"the	Land
    Acquisition Officer"
1537954,CARDINAL,9
1537954,ORG,"The
    Land  Acquisition Officer"
1537954,ORG,Tahsildar
1537954,ORG,"the
    Agricultural  College"
1537954,PERSON,Tahsildar
1537954,ORG,the Agricultural College
1537954,PERSON,Tahsildar
1537954,ORG,Government
1537954,ORG,Government
1537954,DATE,"April 16, 1959"
1537954,ORG,Government
1537954,DATE,"December 13,  1961"
1537954,ORG,the Land Acquisition Officer
1537954,DATE,"August 8, 1968"
1537954,LAW,s. 48(1) of the Act
1537954,ORG,the Agricultural	College
1537954,ORG,the High Court
1537954,ORG,The  High Court
1537954,ORG,Government
1537954,ORG,College
1537954,CARDINAL,48
1537954,CARDINAL,1
