tid,label,token
18135822,ORG,Delhi High Court
18135822,ORG,"M/S Gufic Ltd. & Another vs Clinique Laboratories, Llc & Anr"
18135822,DATE,9 July
18135822,DATE,2010
18135822,PERSON,Badar Durrez Ahmed
18135822,CARDINAL,09.07.2010
18135822,CARDINAL,222/2009
18135822,ORG,M/S GUFIC LTD
18135822,ORG,"CLINIQUE LABORATORIES, LLC & ANR"
18135822,ORG,Appellants
18135822,PERSON,Sudhir Chandra Aggarwal
18135822,PERSON,Sr Advocate
18135822,PERSON,"Abhinav
Vasisht"
18135822,PERSON,Harshita Priyanka
18135822,PERSON,Debojyoti Bhattacharya
18135822,PERSON,"Sumit Singh
Benipal"
18135822,PERSON,Girija V. Verma
18135822,PERSON,Sandeep Sethi
18135822,PERSON,"Sr
Advocate"
18135822,PERSON,Anuradha Salhotra
18135822,PERSON,Rahul Chaudhry
18135822,PERSON,Reetika Walia
18135822,PERSON,Sindhu Sinha
18135822,PERSON,Sumit Wadhwa
18135822,CARDINAL,2
18135822,CARDINAL,3
18135822,CARDINAL,1
18135822,LAW,09.04.2009 in IA No.15425/2008 (Under Order 39 Rules 1 and 2
18135822,LAW,IA 217/2009
18135822,LAW,"Under Order 39 Rule 4, CPC)"
18135822,LAW,"IA No.2769/2009 [Under
Section 124(1) of the Trade Marks Act"
18135822,DATE,1999
18135822,CARDINAL,2607/2008
18135822,CARDINAL,2
18135822,ORG,IA No.15425/2008
18135822,CARDINAL,16.12.2008
18135822,ORG,FAO
18135822,CARDINAL,1
18135822,CARDINAL,19
18135822,CARDINAL,3
18135822,LAW,IA No.217/2009
18135822,LAW,"Order 39 Rule
4"
18135822,ORG,CPC
18135822,CARDINAL,16.12.2008
18135822,LAW,"IA No.2769/2009 (Under Section 124(1) (ii)
of the Trade Marks Act"
18135822,DATE,1999
18135822,PERSON,Actâ€Ÿ
18135822,CARDINAL,4
18135822,CARDINAL,09.04.2009
18135822,CARDINAL,three
18135822,LAW,Order 39 Rules 1
18135822,CARDINAL,2
18135822,ORG,CPC
18135822,CARDINAL,16.12.2008
18135822,LAW,Order 39 Rule 4
18135822,ORG,CPC
18135822,LAW,Section 124(1)(ii)
18135822,LAW,Act
18135822,CARDINAL,2
18135822,CARDINAL,19
18135822,CARDINAL,09.04.2009
18135822,CARDINAL,5
18135822,ORG,No.1
18135822,CARDINAL,13.07.1981
18135822,CARDINAL,3
18135822,ORDINAL,4th
18135822,LAW,the Trade Marks Rules
18135822,DATE,2002
18135822,PERSON,Judge
18135822,ORG,"CLINIQUE WATER
THERAPY"""
18135822,ORG,CLINIQUE
18135822,ORG,CLINIQUE
18135822,DATE,1992
18135822,CARDINAL,04.05.1978
18135822,ORG,CLINIQUE
18135822,DATE,1968
18135822,GPE,India
18135822,DATE,2007
18135822,ORG,FAO
18135822,CARDINAL,3
18135822,CARDINAL,19
18135822,DATE,"about September, 2006"
18135822,CARDINAL,6
18135822,ORG,"STRETCH NIL SKINCLINIQ"""
18135822,DATE,1999
18135822,GPE,India
18135822,ORG,"Gufic
Bio Science Ltd"""
18135822,GPE,India
18135822,CARDINAL,222/09
18135822,CARDINAL,4
18135822,CARDINAL,19
