tid,label,token
42355707,ORG,Supreme Court of India
42355707,ORG,Customs
42355707,ORG,Aafloat Textiles
42355707,DATE,"16
February, 2009"
42355707,PERSON,Pasayat
42355707,PERSON,Arijit Pasayat
42355707,PERSON,Mukundakam Sharma
42355707,PERSON,REPORTABLE
42355707,GPE,INDIA
42355707,DATE,2007
42355707,ORG,Customs
42355707,ORG,M/s Aafloat Textiles
42355707,PERSON,ARIJIT PASAYAT
42355707,CARDINAL,1\
42355707,ORG,Customs
42355707,ORG,Service Tax Appellate Tribunal
42355707,FAC,West Zonal Bench
42355707,GPE,Mumbai
42355707,ORG,CESTAT
42355707,ORG,CESTAT
42355707,ORG,Customs
42355707,CARDINAL,"Rs.6,69,40,149"
42355707,CARDINAL,9
42355707,ORG,M/s Aafloat Textiles (India) Ltd.
42355707,ORG,M/s Akai Impex Ltd.
42355707,LAW,Section 28
42355707,LAW,Section 28AB of the Customs Act
42355707,DATE,1962
42355707,LAW,the `Act
42355707,CARDINAL,27.4.1997
42355707,LAW,Section 111(d
42355707,LAW,"o) of the
Act"
42355707,LAW,"Section 114A of
the Act"
42355707,MONEY,Rs.50 lakhs
42355707,PERSON,Shri Mahendra Shah
42355707,QUANTITY,Rs.25 lakhs
42355707,CARDINAL,four
42355707,PRODUCT,CESTAT
42355707,CARDINAL,2\
42355707,ORG,the Special Import License
42355707,CARDINAL,3\
42355707,CARDINAL,one
42355707,ORG,Gazebo
42355707,ORG,M
42355707,ORG,Mahavir Corporation
42355707,ORG,DRI
42355707,ORG,SIL No.3536539
42355707,CARDINAL,6.8.1997
42355707,ORG,"M/s.
Track Industries"
42355707,GPE,Kanpur
42355707,CARDINAL,2
42355707,ORG,"General of
Foreign Trade"
42355707,GPE,Kanpur
42355707,ORG,M/s Gazebo
42355707,PERSON,Shri R.T
42355707,PERSON,Shah
42355707,CARDINAL,19.1.1998
42355707,PERSON,Sushil Kumar Lohia
42355707,ORG,SIL
42355707,PERSON,"Manoj Kumar
Jain"
42355707,ORG,Naresh Sheth
42355707,PERSON,Shri Dinesh Buchasia
42355707,CARDINAL,7
42355707,PERSON,Rajesh Chopra
42355707,ORG,SILs
42355707,PERSON,Shri Shinivas Pannalal Kalantri
42355707,DATE,the year 1996-97
42355707,DATE,1997-98
42355707,CARDINAL,one
42355707,ORG,"Lalbhai
Trading Co."
42355707,CARDINAL,two
42355707,PERSON,Shri Prakash Mohta
42355707,ORG,Finance Department
42355707,ORG,SILs
42355707,PERSON,Shri Prakash Mohta
42355707,ORG,SILs
42355707,PERSON,Pachisia
42355707,PERSON,Ketan Shah
42355707,CARDINAL,3
42355707,PERSON,Shri Prakash Mohta
42355707,PERSON,"Shri
Mahendra"
42355707,PERSON,Shah
42355707,PERSON,"Shri
Rasiklal Mehta"
42355707,PERSON,AtuI Garodia
42355707,CARDINAL,one
42355707,PERSON,D.R. Gulati
42355707,GPE,Bombay
42355707,PERCENT,"3%
to 4%"
42355707,PERSON,Shri Gulati
42355707,ORG,SILs
42355707,ORG,Shri Garodia
42355707,PERCENT,3%
42355707,CARDINAL,4
42355707,LAW,Section 28(1) of the Act
42355707,ORG,CESTAT
42355707,CARDINAL,5
42355707,CARDINAL,4
42355707,CARDINAL,6
42355707,ORG,SIL
42355707,CARDINAL,7\
42355707,CARDINAL,one
42355707,ORG,CESTAT
42355707,CARDINAL,8\
42355707,ORG,CESTAT
42355707,ORG,SIL
42355707,CARDINAL,two
42355707,CARDINAL,5
42355707,ORDINAL,second
42355707,PERSON,Vimla
42355707,ORG,Delhi Administration
42355707,DATE,"1963
Supp. 2 SCR 585"
42355707,ORG,Indian Bank
42355707,ORG,Satyam Febres (India) Pvt. Ltd.
42355707,DATE,1996
42355707,CARDINAL,5
42355707,CARDINAL,550
42355707,CARDINAL,10\
42355707,PERSON,Jagannath
42355707,DATE,1994
42355707,CARDINAL,1
42355707,CARDINAL,1
42355707,CARDINAL,11
42355707,CARDINAL,6
42355707,PERSON,Ram Chandra Singh
42355707,PERSON,Savitri Devi
42355707,WORK_OF_ART,Ors.
42355707,DATE,2003
42355707,CARDINAL,8
42355707,CARDINAL,319
42355707,CARDINAL,12
42355707,PERSON,Michael Levi
42355707,PERSON,Milton
42355707,PERSON,Comus
42355707,PERSON,Webster
42355707,ORDINAL,Third
42355707,CARDINAL,one
42355707,CARDINAL,7
42355707,ORG,Concise Oxford Dictionary
42355707,PERSON,Halsbury
42355707,ORG,Laws of England
42355707,LAW,Section 17 of the Indian Contract Act
42355707,DATE,1872
42355707,LANGUAGE,English
42355707,WORK_OF_ART,Derry and Ors. v. Peek
42355707,DATE,1886
42355707,CARDINAL,90
42355707,CARDINAL,1
42355707,CARDINAL,22
42355707,CARDINAL,8
42355707,LAW,Administrative Law
42355707,PERSON,Bridge
42355707,GPE,Khawaja
42355707,ORG,State
42355707,DATE,1983
42355707,CARDINAL,1
42355707,CARDINAL,765
42355707,CARDINAL,one
42355707,LAW,Act
42355707,DATE,Present day
42355707,CARDINAL,9
42355707,PERSON,Shrisht Dhawan
42355707,ORG,Shaw Brothers
42355707,DATE,1992 (1
42355707,CARDINAL,534
42355707,CARDINAL,13\
42355707,PERSON,Michael levi
42355707,PERSON,Milton
42355707,PERSON,Comus
42355707,PERSON,Webster
42355707,ORDINAL,Third
42355707,EVENT,"New
International Dictionary"
42355707,CARDINAL,one
42355707,ORG,"Concise
Oxford Dictionary"
42355707,CARDINAL,10
42355707,PERSON,Halsbury
42355707,ORG,Laws of England
42355707,LAW,Section 17 of the Contract Act
42355707,LANGUAGE,English
42355707,LAW,Derry v. Peek
42355707,CARDINAL,1886-90
42355707,CARDINAL,1
42355707,CARDINAL,1889
42355707,CARDINAL,14
42355707,CARDINAL,337
42355707,CARDINAL,22
42355707,CARDINAL,14
42355707,ORG,Court
42355707,PERSON,"Roshan
Deen"
42355707,PERSON,Preeti Lal
42355707,DATE,2002 (1) SCC 100
42355707,PERSON,Ram Preeti Yadav
42355707,ORG,"U.P. Board of High
School and Intermediate Education"
42355707,DATE,2003
42355707,CARDINAL,8
42355707,ORG,SCC 311)
42355707,PERSON,Ram Chandra Singh's
42355707,ORG,Ashok Leyland Ltd.
42355707,ORG,State of T.N.
42355707,DATE,2004
42355707,CARDINAL,3
42355707,CARDINAL,1
42355707,CARDINAL,15
42355707,ORG,Gowrishankar
42355707,PERSON,Joshi Amba Shankar Family Trust
42355707,DATE,1996 (3
42355707,CARDINAL,310
42355707,PERSON,S.P. Chengalvaraya Naidu's
42355707,CARDINAL,11
42355707,CARDINAL,16
42355707,PERSON,Ram Preeti Yadav's
42355707,CARDINAL,17
42355707,ORG,Lazarus Estate Ltd.
42355707,PERSON,Beasley
42355707,DATE,1956
42355707,CARDINAL,1
42355707,CARDINAL,702
42355707,PERSON,Denning
42355707,CARDINAL,712
42355707,CARDINAL,713
42355707,ORG,Court
42355707,PERSON,Parker LJ
42355707,CARDINAL,722
42355707,CARDINAL,18\
42355707,GPE,the State of Andhra Pradesh
42355707,PERSON,T. Suryachandr Rao
42355707,DATE,2005
42355707,CARDINAL,5
42355707,CARDINAL,621
42355707,GPE,Bhaurao
42355707,DATE,2005
42355707,CARDINAL,7
42355707,CARDINAL,605
42355707,CARDINAL,19
42355707,ORG,SIL
42355707,CARDINAL,12
42355707,CARDINAL,20\
42355707,PERSON,P. Ramanatha Aiyar
42355707,DATE,3rd Edn. 2005
42355707,CARDINAL,721
42355707,WORK_OF_ART,Caveat
42355707,CARDINAL,one
42355707,CARDINAL,21\
42355707,PERSON,Caveat
42355707,LANGUAGE,Latin
42355707,DATE,1902
42355707,CARDINAL,21
42355707,CARDINAL,615
42355707,CARDINAL,22\
42355707,PERSON,"William
R. Anson"
42355707,LAW,Principles of the Law of Contract 245
42355707,PERSON,Arthur L. Corbin Ed.3d
42355707,CARDINAL,13
42355707,CARDINAL,23\
42355707,CARDINAL,99
42355707,CARDINAL,102
42355707,CARDINAL,3
42355707,CARDINAL,439
42355707,CARDINAL,24
42355707,CARDINAL,25
42355707,ORG,Bottomley v. Bannister
42355707,DATE,1932
42355707,CARDINAL,458
42355707,CARDINAL,4
42355707,CARDINAL,14
42355707,CARDINAL,26
42355707,CARDINAL,27\
42355707,ORG,SIL
42355707,ORG,CESTAT
42355707,CARDINAL,one
42355707,ORG,SIL
42355707,CARDINAL,28\
42355707,CARDINAL,15
42355707,CARDINAL,29
42355707,CARDINAL,30
42355707,PERSON,MUKUNDAKAM SHARMA
42355707,GPE,"New
Delhi"
42355707,DATE,"February 16, 2009  16"
