tid,PERSON,NORP,ORG,FAC,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORDINAL,CARDINAL
928322,V P Anand,Indian,State,Bombay 133,India,,Gunpower,,The State of Madras,Code,English,1962,,40 per cent,US Dollars,,third,one
699319,Bhandare,T V S N ,the High Court,123,India,District,,,Misc ,Act,,12 days,8 6 1988,,,,first,1
1988649,Rani Kusum,,Court,,Rampur,,,,,Order VIII Rule 1,,90 days,,,,,,1
1362442,Gupta,,Court,,RAMASWAMY,,Addl,,J D ,Order 21 Rule 66,,1976,,12 ,25 000,550 sq,first,2
357132,Patil,Indian,the High Court,the Mohol Sub Jail,Baburao,,,,D S P ,Under Section 164,,1971,the morning of the 8th,,3 000,,,two
1722050,Desai,American,Commission,AC 396,India,,Suraksha Chakra ,,the Report,Section 12A,Hindi,1998,22 10 1997,102 ,,,first,three
985842,S B Sinha,,State,Village Makhara,the State of Kerala,,Hexane,,,Rule 28A,,2004,13 08 1996,25 ,Rs 181 83 lakhs,250MT,first,16 12 1996
617044,S B Sinha,,Court,Room No 305,Mumbai,,PW 17,NDPS Special Case No 221,,Section 42,,2002,all hours,,,,first,two
1885635,Brij Mohan Singh Chopra,J ,the Review Committee,,Orissa,,,Class IV Government,Baidyanath Mahapatra,F R 56,,1987,,,848 F R 56,,first,2
104810373,Shri Ganesh,Indian,e Fund India,,India,South East Asia,DebitBureau,,the OECD Transfer Pricing,Article 5,,subsequent years,17 03 32,100 , million US million,12 square 33 meters,first,5
4354,Chari,American,State,,India,Gulf,,,Prima,Act,English,1950,,less than eighty per cent,Rs 100,one lakh yards,first,1
174974,Shri Charan Singh,British,State,A C 379,States,,Parens Patriae,Lok Sabha elections ,Ors ,Constitution,English,two months,Friday night,,,five feet,first,1
1341112,Kamala Devi,Jhudi,State,East Coast Railway,Bhubaneswar,Cuttack,Hatapatta,New International Dictionary,the OEA Collector in OEA Case No 4 of 1970,Act,English,OJC 2063 of 1992,,,about Rs 1 03 crores,7 acres,Third,1
64332,Nariman,Indian,Jatia Group,the State of Bombay,Calcutta,,,the Great Depression,Reema Aggarwal Vs Anupam and Others,Regulation 12,,12,,more than 5 ,9 55,,second,one
334293,Gwyer C J ,Indian,the High Court,,India,Presi dency,,the Indian Acts,The King,Act,English,1935,,more than 10 per cent,,,first,1
137050,B R Agarwala,,the Register of Firms,,KANIA,,,,the Judgment and Order,the said Partnership Act,,1932,,,10 000,,third,two
30319311,Annexure,,Chickballapur Gowribidanur,,ADVOCATE,,,,,No 4 vide Annexure F,,9 January 2017,,,,,2nd,2
832781,Raja Ram Jaiswal s,,Force,Railway Property,West Bengal,,Code,,The Special Courts Bill,Act,,1966,,,less than two thousand rupees,,second,3
1567371,De,,Court,No 16 lA,Anr ,,S 17E,,Calcutta in Letters Patent No 184 of 1974,clause 15 of the Letters Patent,,three years,a moment,,0 41 R 27,,second,13
76636976,Law,European,the Supreme Court,Delhi 177,UK,,the Coca Cola bottle,The Trademark Cases,Fourth Edition,the Designs Act,,2000,p 65,,fifty thousand rupees,,first,384 2008
1168060,C Reddi,,Court,,Saranga Goundan,,,, Pandiyan Pillai v Vellayappa Rowther ,Act,,1950,,,1000,,second,3400
634266,Doraiswamy Raju,,Court,,Delhi,,,,,Act,,one year,,,2 000,,,2
1664373,Singhvi,Indian,Court,Marquis Street,Calcutta,,Lessee,,Rights and Remedies of the Landlord,Section 108,English,16th March 1964,,50 ,200,,first,2
42294818,Sr Adv,,Registrar,Esplanade Mansion,,,,, The Statesman ,,,January 29 2016,,,Rs 1 50,,first,about Rs 1 75
1350547,Arabinda Bose,B ,State,the State of Travancore Cochin,India,,,,The Judgment of the Court,Act,,1950,,,less than ten thousand Indian rupees,,first,1
199977,Rapidogens,,Naphthol ASG,,the State of Maharashtra,,Rapidogens,,,Notification No 71 78,,six months,,,13 75 lacs,,,two
48216667,Arun Jaitley,,Appellant,Delhi 300,DR,,RASMOLA,,Paper Book,Suit No 62 2006,,1999,,,Rs 8 50 crores,,third,17
