name,id
Wander Ltd. And Another v. Antox India P. Ltd. .,330608
Astrazeneca Uk Ltd. v. Orchid Chemicals & Pharmaceuticals Ltd.,1509899
S.M Dyechem Ltd. v. Cadbury (India) Ltd. .,1025815
Veerumal Praveen Kumar v. Needle Industries (India) Ltd. And Anr.,1945028
N.R Dongre And Others v. Whirlpool Corporation And Another,850381
Pfizer Products Inc. v. Rajesh Chopra,1674695
Mahendra & Mahendra Paper Mills Ltd. v. Mahindra & Mahindra Ltd. .,67204010
Lupin Limited v. Johnson & Johnson,19267666
Cadila Health Care Ltd. v. Cadila Pharmaceuticals Ltd. .,1114158
Purshottam Vishandas Raheja And Another v. Shrichand Vishandas Raheja (Dead) Through Lrs. And Others,81162651
Fedders North American v. Show Line,1269197
Cadila Healthcare Limited v. Cadila Pharmaceuticals Limited,1114158
Ramesh Khatanmal Lulla v. Mohammad Yusuf Abdul Gaffar,70200400
Cadbury India Ltd. v. Neeraj Food Products,652828
Cadbury India Limited v. S.M Dyechem Limited .,1025815
Peshawar Soap & Chemicals Ltd. v. Godrej Soap Ltd.,645115
Ramdev Food Products (P) Ltd. v. Arvindbhai Rambhai Patel And Others,858066
United Biotech Pvt. Ltd. v. Orchid Chemicals & Pharmaceuticals Ltd. & Ors.,94612663
Rupa & Co. Ltd. And Another v. Dawn Mills Co. Ltd. And Another,508915
Torrent Pharmaceuticals Ltd. v. The Wellcome Foundation Ltd. .,1965135
Euro-Solo Energy Systems Limited v. Eveready Industries India Limited,192230665
"Vishwa Mitter Of Vijay Bharat Cigarette Stores, Dalhousie Road, Pathankot v. O.P Poddar And Others",106681665
A. R. Antulay v. Ramdas Sriniwas Nayak And Another,1502681
Iqbal Singh Marwah And Another v. Meenakshi Marwah And Another,618763
Manharibhai Muljibhai Kakadia And Another v. Shaileshbhai Mohanbhai Patel And Others,3304039
"Whirlpool Corporation v. Registrar Of Trade Marks, Mumbai And Others",172383107
"S.K Sinha, Chief Enforcement Officer v. Videocon International Ltd. And Others",304538
Ramana Dayaram Shetty v. International Airport Authority Of India And Others,1281050
Shri M.L Sethi v. Shri R.P Kapur And Another,340501
Pepsi Foods Ltd. And Another v. Special Judicial Magistrate And Others,574884
Indra Kumar Patodia And Another v. Reliance Industries Limited And Others,98291024
Kamlapati Trivedi v. State Of West Bengal .,117903
Madhu Limaye v. State Of Maharashtra .,646292
Marc Enterprises (P) Ltd. v. Five Star Electricals (India),700020
Vrajlal Manilal & Co. v. Bansal Tobacco Co.,1864885
Lt Foods Limited v. Sulson Overseas Pvt. Ltd.,78472331
P.M. Diesels Private Limited v. Thukral Mechanical Works,1202388
A.D. Padmasingh v. Aachi Aappakadai Chettinad,52700318
Three-N-Products Pvt. Ltd. v. Yashwant,1238420
Mex Switchgears Pvt. Ltd. v. Max Switchgears Pvt. Ltd.,60866758
Borosil Glass Works v. O.P Batra & Anr.,614155
