ID,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,ORGANIZATION
1004544,ZIFI,ZOSPAR,IA,English,,Devnagri,CEFI
102042281,Defendant,Indian,CS(OS,,,,Plaintiff
1025815,Vakil,Indian,India,English,,Europe,PICNIC
1062207,Plaintiff,Notice,Plaintiffs,,,,Plaintiff
106681665,O.P. Poddar,Indian,Ors,,,,Magistrate
1114158,Lakshmandhara,Indian,India,English,,,Court
1118022,H. Anraj,Madras,Delhi,English,,West Bengal,Court
112995556,Plaintiff No.1,Indian,CS(OS,,,Europe,LOD
1165153,Lakshmandhara,Trademark,Delhi,,,Kidwai Nagar East,Court
117903,J.,Indian,P.C.,English,,Section,Magistrate
1202388,Jain Industries,Merchandise Marks,Delhi,,,,Jain Industries
1238420,Durex,Indian,Hindi,English,,premises,Court
1239673,Plaintiff No.1,Indian,Moolchand,,,West Bengal,Court
1269197,Plaintiff,Fedders,India,,,premises,Plaintiff
1281050,A. S. Irani,Act,India,,,Articles,State
1281453,Jai Prakash Gupta,Ayurvedic,Nepal,English,,,ROCHAK
1300598,B.N. Kirpal,Bharat,Delhi,French,,,Dua Pharmaceuticals Pvt.
1306228,Anand,Indian,India,English,,Hudson,Colgate
13352,the Defendant Nos,Indian,Plaintiffs,English,,,the Supreme Court
136111,Hawkins,Hawkins,Delhi,,,,Volvo
1375229,Kishan Kaul,Mathias,Japan,,,,Court
141920684,Mukund,Order,India,,,the Ld Counsel,Court
14349,Bench,Madras,Anraj,English,,Madras,Karnataka
145549327,Vita,Act,CS(OS,,,Astrazeneca UK Limited,Court
1460395,Flora,Act,Delhi,,,,Court
147470112,VALMIKI J. MEHTA,,QILLA,,,QILLA,Single
1502681,P. C.,Secs,Cr,,,West Bengal,Sec
1509899,Mero,Act,India,,,Astrazeneca,Court
152715128,Bench,Vegetarians,India,,,ALE,Single
1557873,Manav Kumar,Indian,India,English,,Europe,EQUAL
157791679,Mero,ACUCAL,India,,,,Court
1611564,Anr,,India,,,,APCOLITE
1640143,T.N. Godavarman Thirumulpad,Rs.19,Delhi,,,the Mining Area One,KIOCL
1657978,Anantam,Anantam,Anantam‟,,,,CS (OS)
1674695,Geodon,Indian,India,English,,the Registrar of Trademarks,Court
