tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
1004544,0,7,24,0,62,0,0,209,10,0,0,0,0,0
102042281,0,4,5,0,62,3,4,78,8,0,0,0,0,0
1025815,0,4,27,3,62,0,4,209,10,0,0,0,0,0
1062207,0,4,31,0,62,22,0,209,10,0,0,0,0,0
106681665,0,0,31,0,0,0,0,54,6,0,0,0,0,0
1114158,0,4,27,0,6,0,4,191,17,0,0,0,0,0
1118022,139,7,31,0,0,5,0,191,17,0,0,0,0,0
112995556,0,4,5,0,62,3,4,78,8,0,0,0,0,0
1165153,0,4,27,0,62,5,4,209,10,1,0,0,0,1
117903,0,7,31,0,0,0,0,66,6,0,0,0,0,0
1202388,0,4,2,0,39,0,4,208,17,0,0,0,0,0
1238420,0,4,31,0,0,14,0,209,10,1,0,0,0,0
1239673,0,4,31,0,62,0,0,66,10,0,0,0,0,0
1269197,0,4,27,0,62,22,4,209,10,0,0,0,0,0
1281050,0,7,11,0,0,3,5,191,17,0,0,0,0,0
1281453,0,4,31,0,62,5,4,209,10,1,0,0,0,0
1300598,0,0,4,3,0,0,0,78,8,0,0,0,0,0
1306228,0,6,31,0,62,14,0,191,10,1,0,1,0,0
13352,0,4,31,0,0,0,0,209,10,0,0,0,0,0
136111,0,4,27,0,62,5,0,78,8,0,0,0,0,0
1375229,0,7,27,0,62,5,0,209,10,1,0,0,0,0
139585580,0,0,0,0,62,0,0,209,10,0,0,0,0,0
141920684,0,0,31,0,0,0,0,66,10,0,0,0,0,0
14349,0,7,31,0,0,3,0,191,1,0,0,0,0,0
145549327,0,4,27,0,62,0,4,209,10,0,0,0,0,0
1460395,0,4,31,3,0,5,4,209,10,0,0,0,0,0
147470112,0,4,0,0,62,0,0,14,17,0,0,0,0,0
1502681,0,0,3,0,0,0,0,66,3,0,0,0,0,0
1509899,0,4,31,0,62,0,0,78,8,0,0,0,0,0
152715128,0,4,27,0,62,5,0,209,1,0,0,0,0,0
1557873,0,4,27,3,62,5,5,191,10,0,0,0,0,1
157791679,0,4,27,0,62,0,0,14,17,0,0,0,0,0
1611564,0,7,5,0,62,5,0,209,10,1,0,0,0,0
1640143,0,0,3,0,0,2,0,66,0,0,0,0,0,0
1657978,0,4,31,0,39,0,4,78,8,0,0,0,0,0
1674695,0,4,31,0,62,5,4,191,10,0,0,0,0,0
170719338,0,7,2,0,62,5,5,209,10,0,0,0,0,0
172383107,0,4,31,0,0,0,4,66,1,0,0,0,0,0
1741869,0,4,31,0,62,0,0,209,10,0,0,0,0,0
1771880,0,4,31,0,38,0,4,191,17,0,0,0,0,0
1784548,0,4,27,0,0,3,4,209,10,1,0,0,0,0
1789265,0,4,31,0,62,0,0,191,10,0,0,0,0,0
179972913,0,4,31,0,62,16,0,209,10,1,0,0,0,0
18135822,0,4,31,0,62,3,0,66,1,0,0,0,0,0
181424088,0,4,27,0,62,0,4,209,10,0,0,0,0,0
1857898,0,7,2,0,62,14,0,209,10,0,0,0,0,0
1864885,0,4,27,0,62,5,0,78,8,1,0,0,0,0
1900841,0,4,3,0,62,0,4,191,10,0,0,0,0,0
192230665,0,4,17,2,62,26,4,191,17,0,0,0,0,0
19267666,0,4,31,0,62,5,4,66,10,0,1,1,0,0
1945028,0,4,27,0,62,5,0,14,1,1,0,1,0,0
19504407,0,4,27,0,62,5,4,209,10,0,0,0,0,0
1965135,0,4,31,0,62,0,4,191,17,0,0,0,0,0
1981161,0,4,31,3,62,0,0,209,10,0,0,0,0,0
1983225,0,7,27,0,62,5,0,76,10,1,0,0,0,0
27816811,0,7,5,0,62,5,4,209,10,0,0,0,0,0
304538,0,0,31,0,0,0,4,159,6,0,0,0,0,0
321682,0,4,27,0,62,0,4,209,10,0,0,0,0,0
3304039,0,7,31,0,0,0,0,66,6,0,0,0,0,0
330608,0,7,22,0,0,3,0,66,1,0,0,0,0,0
340501,0,8,3,0,0,0,0,66,6,0,0,0,0,0
