tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
100123,0,6,17,0,0,0,0,209,10,0,0,0,0,0
1001948,0,4,31,2,0,5,4,66,10,1,0,0,0,0
1006468,0,4,31,0,3,0,0,191,17,0,0,0,0,0
1006709,0,0,22,0,0,0,0,66,1,0,0,0,0,0
1007946,0,0,17,0,0,3,0,66,17,0,0,0,0,0
101008236,0,5,31,0,0,0,0,14,17,0,0,0,0,0
1011356,0,0,31,0,0,0,0,191,17,0,0,0,0,0
1012649,0,7,31,0,0,0,0,209,10,0,0,0,0,0
1013766,0,9,31,0,0,0,4,191,6,0,0,0,0,0
1014138,160,8,4,0,0,6,4,191,16,0,0,0,0,0
1019490,0,7,31,0,0,0,4,191,10,0,0,0,0,0
1022090,0,7,2,0,62,22,0,191,21,0,0,0,0,0
1022584,0,4,31,0,0,0,0,191,8,0,0,0,0,0
1023674,0,7,13,0,0,0,0,191,3,0,0,0,0,0
10239019,0,4,31,0,0,0,4,191,3,0,0,0,0,0
1024124,0,6,20,0,0,0,0,66,17,0,0,0,0,0
102653512,0,7,31,0,39,5,4,209,10,1,0,0,0,0
102852,0,7,30,0,0,0,8,66,1,0,0,0,0,0
102886851,0,4,24,0,0,0,4,66,17,0,0,0,0,0
103057287,0,0,22,2,0,0,0,66,1,0,0,0,0,0
1030976,0,7,22,0,0,3,0,191,2,0,0,0,0,0
1033637,0,4,31,0,0,0,0,191,3,0,0,0,0,0
1033812,109,0,22,0,0,0,0,66,0,0,0,0,0,0
103434922,0,7,26,2,0,0,0,209,10,0,0,0,0,0
1035346,0,7,31,2,0,0,4,14,17,0,0,0,0,0
103561,0,4,31,0,0,3,0,191,17,0,0,0,0,0
1035719,0,4,19,0,0,0,0,191,1,0,0,0,0,0
1038563,0,0,20,0,0,0,0,159,16,0,0,0,0,0
104312764,0,4,31,0,0,3,4,191,15,0,0,0,0,0
104313664,0,6,3,0,0,0,4,66,1,0,0,0,0,0
104377,0,7,31,2,0,0,0,66,17,0,0,0,0,0
104810373,0,7,30,0,0,22,4,191,17,0,0,0,0,0
1048632,0,7,31,0,0,0,0,191,16,0,0,0,0,0
104935066,0,4,17,0,0,3,0,191,17,0,0,0,0,0
1052178,0,0,3,0,0,0,4,54,6,0,0,0,0,0
1053542,0,8,22,0,0,0,0,66,16,0,0,0,0,0
1056935,0,9,31,0,0,0,0,191,21,0,0,0,0,0
105936170,0,0,31,0,0,0,0,14,2,0,0,0,0,0
1062099,0,5,31,0,0,5,4,191,10,1,0,0,0,0
1073828,0,0,31,0,0,3,0,14,0,0,0,0,0,0
107853771,0,7,31,2,62,5,4,191,10,1,1,1,0,0
108020655,0,8,30,0,0,0,0,191,21,0,0,0,0,0
108509106,0,4,31,0,0,0,0,209,10,0,0,0,0,0
1086058,0,7,33,0,0,6,4,191,17,0,0,0,0,0
1092394,0,8,11,0,0,0,4,14,17,0,0,0,0,0
109700315,0,0,22,0,0,0,0,14,0,0,0,0,0,0
1097490,0,7,31,0,0,0,0,191,3,0,0,0,0,0
1097981,0,7,2,0,0,0,0,66,21,0,0,0,0,0
1098305,0,0,22,0,38,0,0,191,17,0,0,0,0,0
109874394,0,7,31,0,62,5,4,191,10,1,0,1,0,0
1099140,0,5,22,0,0,0,4,14,15,0,0,0,0,0
1102062,0,7,13,0,0,0,0,66,16,0,0,0,0,0
1103984,0,7,2,0,0,0,0,191,16,0,0,0,0,0
1104087,0,6,17,0,0,0,4,191,21,0,0,0,0,0
1104701,0,4,17,0,39,0,4,209,10,0,0,0,0,0
1105134,0,7,20,0,0,0,0,83,16,0,0,0,0,0
1106747,0,0,31,0,0,0,5,66,16,0,0,0,0,0
110813550,0,7,31,0,62,6,0,191,3,0,0,0,1,0
1110013,0,7,33,3,0,0,4,66,8,0,0,0,0,0
1114158,0,4,27,0,6,0,4,191,17,0,0,0,0,0
1115541,0,0,13,0,0,0,8,66,17,0,0,0,0,0
111777378,0,8,31,2,0,0,0,66,17,0,0,0,0,0
1120137,98,8,31,0,0,0,0,14,17,0,0,0,0,0
1120277,0,7,31,0,0,3,4,191,1,0,0,0,0,0
1120373,0,0,31,0,0,0,0,66,20,0,0,0,0,0
1121229,0,7,31,2,0,0,0,66,1,0,0,0,0,0
112850760,0,9,33,2,38,6,4,66,1,0,0,0,0,0
112896520,0,4,31,0,0,0,0,191,17,0,0,0,0,0
112937069,0,4,31,0,0,5,0,191,17,1,1,1,0,0
1129833,0,8,20,0,0,20,0,66,1,0,0,0,0,0
1130742,0,5,33,0,0,0,7,66,17,0,0,0,0,0
1131957,0,4,31,0,0,5,0,191,10,1,0,1,0,0
1132299,0,4,27,0,0,0,0,191,10,0,0,0,0,0
1132362,0,0,31,3,0,14,0,66,10,0,0,0,0,0
1134429,0,3,3,0,0,0,4,191,17,0,0,0,0,0
1134697,0,7,30,0,0,0,5,191,1,0,0,0,0,0
1136663,150,4,31,0,0,0,4,191,3,0,0,0,0,0
1136885,0,5,33,0,0,0,0,104,21,0,0,0,0,0
113963352,0,7,8,0,0,0,0,66,10,0,0,0,0,0
1147125,0,7,31,2,0,0,4,191,8,0,0,0,0,0
1147963,0,0,30,0,0,0,4,66,17,0,0,0,0,0
1149874,0,8,31,2,0,0,0,191,21,0,0,0,0,0
1151918,0,8,2,0,0,0,0,66,17,0,0,0,0,0
1152518,0,7,13,2,0,0,4,66,1,0,0,0,0,0
1154981,0,7,31,0,0,0,4,66,21,0,0,0,0,0
1155640,0,5,31,0,0,0,4,191,17,0,0,0,0,0
1156538,0,5,31,0,0,0,0,78,8,0,1,0,0,0
115701246,0,7,30,2,0,20,4,191,1,0,0,0,0,0
115718142,0,4,4,3,0,5,0,191,10,1,0,0,0,0
1159790,0,8,3,0,0,0,0,66,6,0,0,0,0,0
1163546,0,8,31,0,0,0,0,191,0,0,0,0,0,0
116548206,0,7,31,12,62,3,0,191,1,0,1,0,0,0
1165503,0,9,31,0,0,0,0,191,15,0,0,0,0,0
1166220,0,7,13,3,0,20,0,66,17,0,0,0,0,0
1168060,0,0,31,0,0,0,0,66,10,0,0,0,0,0
1180101,0,6,33,0,0,12,5,191,1,0,0,0,0,0
1180206,0,6,31,0,0,5,0,159,6,1,0,0,0,0
1180216,45,5,31,0,0,0,5,191,15,0,0,0,0,0
118046405,0,0,31,0,0,0,0,297,16,0,0,0,0,0
1181080,0,4,27,0,62,0,0,191,17,0,0,0,0,0
118501220,0,4,30,0,0,0,0,66,17,0,0,0,0,0
1186368,0,7,30,0,0,0,8,191,16,0,0,0,0,0
1186410,0,9,31,0,0,0,0,191,17,0,0,0,0,0
1187885,0,0,31,0,0,0,0,14,17,0,0,0,0,0
1187886,0,0,31,0,0,0,0,14,17,0,0,0,0,0
119316583,0,6,0,0,0,0,0,297,2,0,0,0,0,0
1194654,0,7,31,0,0,5,4,191,10,1,0,0,0,0
119540048,0,7,31,3,0,5,0,66,21,1,1,0,0,0
1195618,0,4,31,0,0,5,0,191,17,0,0,1,0,0
1199558,0,8,33,0,0,0,0,66,3,0,0,0,0,0
1202878,0,5,22,0,0,0,0,191,21,0,0,0,0,0
120358,0,7,13,0,0,3,7,191,21,0,0,0,0,0
12050516,0,0,3,0,0,0,0,66,0,0,0,0,0,0
1206754,0,7,30,0,0,5,0,191,1,0,0,0,0,0
1206795,0,4,27,0,62,21,4,191,10,0,0,0,0,0
1209528,0,4,17,0,39,0,0,191,15,0,0,0,0,0
1212077,0,0,31,0,39,0,5,191,15,0,0,0,0,0
1213021,0,8,31,0,0,3,4,191,21,0,0,0,0,0
1213194,0,7,13,0,0,0,0,191,17,0,0,0,0,0
1214980,0,7,13,0,0,22,4,191,15,0,0,0,0,0
1216757,0,7,31,0,0,0,0,66,17,0,0,0,0,0
1220952,0,8,31,0,0,3,0,66,4,0,0,0,0,0
122362,0,7,31,0,0,3,4,66,21,0,0,0,0,0
1224686,0,7,31,0,0,3,0,140,10,0,0,0,0,0
1231223,0,7,22,0,39,0,0,191,17,0,0,0,0,0
1231997,108,0,22,0,0,0,4,191,15,0,0,0,0,0
1233360,0,7,31,2,62,0,0,66,1,0,0,0,0,0
1233850,0,8,31,0,0,0,4,191,15,0,0,0,0,0
123737198,0,7,31,0,62,5,0,209,10,1,0,0,0,0
1237504,0,1,17,0,0,3,0,14,17,0,0,0,0,0
1239673,0,4,31,0,62,0,0,66,10,0,0,0,0,0
1240131,0,0,31,0,0,3,4,191,17,0,0,0,0,0
124137051,0,4,31,0,62,14,5,209,10,0,0,0,0,0
1242789,0,7,31,0,0,5,4,191,8,1,0,0,0,0
1246653,0,7,3,0,0,22,4,191,17,0,0,0,0,0
1247926,0,4,31,0,0,0,0,191,17,0,0,0,0,0
1261492,0,7,20,0,0,0,8,191,1,0,0,0,0,0
126699,0,0,22,0,62,0,0,14,17,0,0,0,0,0
1271015,0,7,4,0,39,5,0,191,8,1,0,0,0,0
1274327,0,0,3,2,0,0,0,66,17,0,0,0,0,0
127517806,0,7,31,0,0,3,4,191,1,0,0,0,1,0
1276331,0,7,13,0,0,3,0,191,1,0,0,0,0,0
1278222,0,8,31,0,0,0,0,66,1,0,0,0,0,0
1278868,0,7,2,2,0,22,0,191,21,0,0,0,0,0
1281050,0,7,11,0,0,3,5,191,17,0,0,0,0,0
128161,0,7,13,0,0,0,0,191,17,0,0,0,0,0
1287305,0,6,3,0,0,3,4,191,3,0,0,0,0,0
1290723,0,4,13,0,0,0,4,191,17,0,0,0,0,0
1291316,0,7,13,0,0,0,0,191,17,0,0,0,0,0
1292071,0,7,22,0,0,0,0,191,15,0,0,0,0,0
1292463,0,0,31,0,0,0,0,66,16,0,0,0,0,0
1295746,108,5,31,0,0,0,0,66,1,0,0,0,0,0
1296255,0,0,31,0,0,3,0,191,1,0,0,0,0,0
1297488,0,7,13,0,0,0,0,66,3,0,0,0,0,0
1299452,0,0,33,0,19,3,0,191,10,0,0,0,0,0
1300072,0,9,20,0,0,0,0,14,1,0,0,0,0,0
1300646,0,8,17,0,0,0,0,191,1,0,0,0,0,0
1300681,45,4,27,0,0,0,0,191,17,0,0,0,0,0
130087,0,7,27,0,10,5,0,78,8,1,0,0,0,0
130353321,0,8,11,0,0,0,0,66,17,0,0,0,0,0
1304475,0,7,33,0,0,0,4,66,1,0,0,0,0,0
130470,0,0,31,0,62,0,4,54,3,0,0,0,0,0
1307266,0,4,31,0,0,3,0,191,1,0,0,0,0,0
1307808,0,6,22,3,0,3,0,66,16,0,0,0,0,0
1313207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318646,0,6,20,0,0,0,0,191,1,0,0,0,0,0
1319506,0,7,22,0,39,3,5,191,17,1,0,0,0,0
1326449,0,7,31,0,0,0,4,191,17,0,0,0,0,0
1326478,134,7,17,0,0,3,0,66,16,0,0,0,0,0
1326499,0,4,31,0,0,0,4,101,3,0,0,0,0,0
1327080,0,7,31,0,0,5,0,66,10,1,0,0,0,0
1328814,0,7,31,0,0,0,4,191,10,0,0,1,0,0
1329151,0,7,30,0,0,0,4,66,1,0,0,0,0,0
1330629,0,8,30,0,0,0,4,66,1,0,0,0,0,0
1333219,0,4,5,0,3,0,0,191,17,0,0,0,0,0
1334665,0,8,30,0,0,0,0,191,17,0,0,0,0,0
1335881,156,4,27,0,62,16,4,140,17,1,0,0,0,0
133640019,0,5,31,0,0,0,0,297,17,0,0,0,0,0
1338327,0,9,33,3,0,0,4,66,8,0,0,0,0,0
1338837,0,4,22,2,0,0,0,66,1,0,0,0,0,0
1341112,0,7,31,0,0,0,4,191,17,0,0,0,0,0
1341716,0,7,13,0,0,0,4,66,17,0,0,0,0,0
1341895,0,0,31,0,0,0,0,191,17,0,0,0,0,0
134913,0,4,27,0,0,5,0,209,10,1,0,0,0,0
1350547,0,4,31,0,0,0,0,191,17,0,0,0,0,0
135285745,0,7,2,0,0,0,4,76,1,0,0,0,0,0
1353689,0,7,31,2,0,0,5,66,1,0,0,0,0,0
1354608,58,6,22,3,0,0,4,101,10,0,0,0,0,0
1355660,0,6,31,0,0,3,0,191,6,0,0,0,0,0
135809,0,7,2,0,0,0,0,66,17,0,0,0,0,0
135953,0,4,31,0,0,0,0,14,21,0,0,0,0,0
1362442,108,6,17,0,0,0,4,66,17,0,0,0,0,0
1363234,0,7,30,0,0,6,7,191,1,0,0,0,0,0
1365277,0,7,3,0,0,3,4,191,1,0,0,0,0,0
137050,0,4,31,0,0,0,0,66,17,0,0,0,0,0
137238378,0,4,31,2,0,0,4,66,1,0,0,0,0,0
1375132,0,5,31,0,0,0,0,66,1,0,0,0,0,0
1377335,0,7,31,2,0,0,0,191,17,0,0,0,0,0
137734242,0,8,3,0,0,0,4,191,1,0,0,0,0,0
1378876,0,6,31,0,0,0,0,59,6,0,0,0,0,0
138184,0,7,31,0,0,0,4,66,10,0,0,0,0,0
138192511,0,5,31,0,10,5,0,191,10,1,1,0,0,0
1381953,0,0,31,0,0,2,0,101,3,0,0,0,0,0
138217214,0,6,3,0,0,0,0,14,21,0,0,0,0,0
1382657,0,7,13,3,0,0,0,66,10,0,0,0,0,0
1382698,0,7,30,0,0,0,3,191,1,0,0,0,0,0
138826371,0,0,31,0,0,0,0,16,16,0,0,0,0,0
1389940,45,4,31,2,0,3,0,191,17,0,0,0,0,0
139299795,0,7,30,0,0,0,4,191,21,0,0,0,0,0
139670361,0,4,31,2,0,0,4,208,1,0,0,0,0,0
1397964,0,4,31,0,62,0,0,191,17,0,0,0,0,0
1401520,0,7,33,2,0,0,5,66,16,0,0,0,0,0
1401567,0,0,17,0,0,0,0,66,0,0,0,0,0,0
1403309,0,8,2,0,0,0,0,66,17,0,0,0,0,0
1403823,0,7,17,2,0,0,0,209,10,0,0,0,0,0
1404351,0,7,13,0,0,3,0,191,10,0,0,0,0,0
1405951,0,4,31,0,0,3,0,191,17,0,0,0,0,0
1407895,0,0,24,3,0,0,0,210,1,0,0,0,0,0
1411268,0,0,31,0,0,0,0,191,1,0,0,0,0,0
1414629,0,5,22,0,0,0,0,191,17,0,0,0,0,0
1415114,0,7,31,0,0,5,4,191,8,1,0,0,0,0
1416283,0,7,33,0,0,3,0,191,16,0,0,0,0,0
1418391,0,7,31,0,0,3,0,191,1,0,0,0,0,0
1425094,0,4,31,2,0,0,0,191,1,0,0,0,0,0
1425329,0,7,13,0,0,6,5,191,2,0,0,0,0,0
1425907,0,4,17,0,0,0,0,66,1,0,0,0,0,0
1426304,0,7,31,0,0,0,0,66,17,0,0,0,0,0
143202244,2,7,31,0,0,5,4,191,3,0,0,0,0,0
14377547,0,0,0,0,0,0,0,66,15,0,0,0,0,0
1438183,0,7,31,0,0,3,0,191,6,0,0,0,0,0
143917974,0,4,31,0,0,0,5,66,16,0,0,0,0,0
1439704,0,4,27,0,0,5,4,191,17,1,0,0,0,0
1440160,0,7,4,0,0,5,0,78,8,0,0,0,0,0
1442144,0,0,2,0,0,0,0,12,0,0,0,0,0,0
1445734,0,7,2,0,0,22,0,66,21,0,0,0,0,0
1447296,0,6,31,0,0,0,0,191,4,0,0,0,0,0
1453719,0,0,3,0,0,0,0,66,17,0,0,0,0,0
145401736,0,7,31,0,62,3,4,191,8,1,0,0,1,1
1462242,0,7,31,0,0,0,0,66,8,0,0,0,0,0
146267,0,0,22,0,0,0,8,14,15,0,0,0,0,0
1465670,0,0,31,0,0,0,0,66,20,0,0,0,0,0
146940961,0,7,3,0,0,0,0,66,16,0,0,0,0,0
1470887,0,4,5,0,62,5,4,191,17,0,0,0,0,0
1474119,0,7,30,0,0,0,4,191,1,0,0,0,0,0
1475926,0,8,13,0,0,0,8,14,17,0,0,0,0,0
148082701,185,7,31,0,0,5,4,66,10,1,0,0,0,0
1482259,0,7,31,0,0,0,4,191,16,0,0,0,0,0
1483262,0,7,31,0,0,0,4,66,17,0,0,0,0,0
1484358,0,0,31,0,0,0,0,66,1,0,0,0,0,0
1486034,0,7,30,0,0,3,3,83,6,0,0,0,0,0
1486949,0,7,30,0,0,3,4,191,16,0,0,0,0,0
1487019,0,0,31,0,0,0,0,191,16,0,0,0,0,0
14898186,0,0,0,0,0,0,0,66,0,0,0,0,0,0
1500505,0,4,31,0,0,0,0,208,16,0,0,0,0,0
150473,0,9,31,0,0,0,0,66,8,0,0,0,0,0
1505859,0,3,3,0,0,0,4,14,20,0,0,0,0,0
1507797,0,4,31,0,0,0,0,78,8,0,0,0,0,0
150814946,0,7,33,0,0,0,0,191,1,0,0,0,0,0
1508554,108,7,30,0,0,0,4,66,1,0,0,0,0,0
1509628,0,3,30,3,0,0,4,191,1,0,0,0,0,0
151308629,0,7,27,3,0,5,4,66,17,0,0,0,0,0
1514111,0,5,31,0,38,3,0,191,1,0,0,0,0,0
1514512,0,4,33,0,62,0,5,14,1,0,0,0,0,0
1515299,0,7,31,0,0,3,4,66,20,0,0,0,0,0
151609698,0,0,13,0,0,0,0,83,3,0,0,0,0,0
1519371,0,3,31,0,0,5,0,191,17,0,0,0,0,0
1521407,0,0,31,0,0,0,4,66,17,0,0,0,0,0
1521460,0,0,30,0,0,0,0,66,1,0,0,0,0,0
152460,0,7,31,0,0,0,0,209,10,0,0,0,0,0
1528386,0,0,17,0,0,22,0,66,17,0,0,0,0,0
1536230,0,7,31,2,0,0,0,191,17,0,0,0,0,0
1537954,0,5,31,0,0,0,4,191,10,0,0,0,0,0
1543503,0,4,31,0,6,5,0,191,10,0,1,1,0,0
1543623,0,7,31,0,0,0,0,191,17,0,0,0,0,0
1548289,0,3,31,0,0,5,0,191,17,1,0,0,0,0
154833956,0,4,31,0,62,5,4,66,10,0,0,0,0,0
1550190,0,5,3,0,0,0,0,191,4,0,0,0,0,0
155272316,0,4,30,0,0,0,4,191,2,0,0,0,0,0
155329262,179,7,31,2,0,0,4,66,1,0,0,0,0,0
1555192,0,4,27,0,0,0,4,191,10,0,0,0,0,0
155579055,0,6,3,0,0,0,5,191,21,0,0,0,0,0
1564015,0,6,31,0,0,0,0,191,21,0,0,0,0,0
1566,0,7,2,2,0,0,0,66,16,0,0,0,0,0
1567371,0,8,30,2,0,0,0,66,1,0,0,0,0,0
1567797,0,6,17,2,0,0,0,78,8,0,0,0,0,0
1568935,59,5,31,0,0,0,0,191,17,0,0,0,0,0
1572876,0,8,20,2,0,0,4,66,1,0,0,0,0,0
1576587,0,7,31,0,0,0,4,191,1,0,0,0,0,0
1578200,0,7,2,0,0,3,4,191,17,0,0,0,0,0
1584936,0,0,33,0,0,0,0,66,17,0,0,0,0,0
1586918,0,6,31,0,0,0,0,191,17,0,0,0,0,0
1589218,0,0,31,0,0,0,4,14,3,0,0,0,0,0
1592558,0,7,31,0,0,5,4,191,17,1,0,0,0,0
1593570,0,8,22,2,0,0,0,66,1,0,0,0,0,0
1594031,0,7,31,0,0,3,0,191,17,0,0,0,0,0
1596320,0,0,31,0,0,0,4,14,17,0,0,0,0,0
1596866,0,0,3,0,0,0,0,83,16,0,0,0,0,0
1597179,0,0,31,0,0,0,0,12,20,0,0,0,0,0
1599972,108,6,31,0,0,0,4,101,6,0,0,0,0,0
160205361,0,0,31,2,0,0,0,191,16,0,0,0,0,0
1602137,0,7,31,0,0,0,0,191,17,0,0,0,0,0
1602162,0,7,13,0,0,0,0,191,17,0,0,0,0,0
1604568,0,6,31,0,0,0,4,16,17,0,0,0,0,0
1610804,0,9,31,0,0,0,4,66,21,0,0,0,0,0
161147300,0,7,31,0,0,5,0,66,8,1,0,0,0,0
1611623,0,6,31,0,0,0,4,191,20,0,0,0,0,0
1611775,0,9,31,0,0,3,0,191,17,0,0,0,0,0
1615016,0,4,31,0,0,0,4,191,1,0,0,0,0,0
161614515,0,7,14,0,0,3,0,14,17,0,0,0,0,0
1616148,0,0,30,0,0,0,0,66,17,0,0,0,0,0
161939,0,4,31,0,0,0,4,191,16,0,0,0,0,0
162420,0,6,31,0,0,0,0,66,1,0,0,0,0,0
162432291,0,8,31,0,0,0,0,45,1,0,0,0,0,0
1627481,0,8,24,0,0,0,0,191,17,0,0,0,0,0
162878090,0,7,31,2,0,3,5,66,16,0,1,0,0,0
1629830,0,7,30,0,0,3,5,191,17,0,0,0,0,0
1630167,0,4,31,0,62,0,0,191,17,0,0,0,0,1
1633179,0,7,30,0,0,0,0,191,17,0,0,0,0,0
163696803,0,7,31,0,62,22,5,191,17,0,0,0,0,0
164002734,0,0,15,0,0,0,0,66,17,0,0,0,0,0
